"ano";"faixa_idade";"idade_anos_exceto_90_e_mais";"populacao"
2021;"Menor que 1 ano";0;520194
2021;"1 ano";1;549429
2021;"2 anos";2;570210
2021;"3 anos";3;583596
2021;"4 anos";4;590589
2021;"5 anos";5;592145
2021;"6 anos";6;589380
2021;"7 anos";7;583307
2021;"8 anos";8;574912
2021;"9 anos";9;565250
2021;"10 anos";10;554359
2021;"11 anos";11;542277
2021;"12 anos";12;534910
2021;"13 anos";13;535201
2021;"14 anos";14;541204
2021;"15 anos";15;546939
2021;"16 anos";16;552064
2021;"17 anos";17;564156
2021;"18 anos";18;585885
2021;"19 anos";19;613394
2021;"20 anos";20;640739
2021;"21 anos";21;669952
2021;"22 anos";22;691485
2021;"23 anos";23;700185
2021;"24 anos";24;700587
2021;"25 anos";25;702144
2021;"26 anos";26;702674
2021;"27 anos";27;705216
2021;"28 anos";28;712138
2021;"29 anos";29;721539
2021;"30 anos";30;728871
2021;"31 anos";31;734711
2021;"32 anos";32;740141
2021;"33 anos";33;745139
2021;"34 anos";34;749257
2021;"35 anos";35;752297
2021;"36 anos";36;754563
2021;"37 anos";37;753368
2021;"38 anos";38;747436
2021;"39 anos";39;737987
2021;"40 anos";40;727924
2021;"41 anos";41;717154
2021;"42 anos";42;704475
2021;"43 anos";43;689738
2021;"44 anos";44;673721
2021;"45 anos";45;657168
2021;"46 anos";46;639710
2021;"47 anos";47;624512
2021;"48 anos";48;613156
2021;"49 anos";49;604285
2021;"50 anos";50;594819
2021;"51 anos";51;585208
2021;"52 anos";52;575644
2021;"53 anos";53;565860
2021;"54 anos";54;555803
2021;"55 anos";55;545636
2021;"56 anos";56;535264
2021;"57 anos";57;524071
2021;"58 anos";58;511745
2021;"59 anos";59;498408
2021;"60 anos";60;484665
2021;"61 anos";61;470597
2021;"62 anos";62;454958
2021;"63 anos";63;437253
2021;"64 anos";64;418094
2021;"65 anos";65;398633
2021;"66 anos";66;378690
2021;"67 anos";67;358854
2021;"68 anos";68;339554
2021;"69 anos";69;320574
2021;"70 anos";70;301311
2021;"71 anos";71;281939
2021;"72 anos";72;262624
2021;"73 anos";73;243410
2021;"74 anos";74;224337
2021;"75 anos";75;201656
2021;"76 anos";76;182530
2021;"77 anos";77;164542
2021;"78 anos";78;146863
2021;"79 anos";79;129525
2021;"80 anos";80;112265
2021;"81 anos";81;101800
2021;"82 anos";82;92178
2021;"83 anos";83;83258
2021;"84 anos";84;74806
2021;"85 anos";85;67223
2021;"86 anos";86;59155
2021;"87 anos";87;51038
2021;"88 anos";88;42668
2021;"89 anos";89;33857
2021;"90 anos e mais";;149924
